attempt_key,run_id,qid,sample,call_index,tool,targets,n_returned,entity_ids,error,retrieval_mode
baseline-01|storefront-tour-top-customer-spend|None|baseline,baseline-01,storefront-tour-top-customer-spend,,3,execute_query,,0,,,
baseline-01|storefront-tour-net-sales-2025|None|baseline,baseline-01,storefront-tour-net-sales-2025,,1,get_context,measure: net sales | dimension: order status cancelled returned,73,source:order_items:order_items | measure:order_items:total_sales | measure:order_items:percent_of_sales | dimension:order_items:order_id | measure:order_items:total_margin | measure:order_items:customer_count | dimension:order_items:status | measure:order_items:margin_rate | measure:order_items:order_item_count | measure:order_items:orders_per_customer | dimension:order_items:customer_id | measure:order_items:avg_order_value | measure:order_items:customers.customer_count | dimension:order_items:customers.state | measure:order_items:return_rate | dimension:order_items:customers.customer_id | dimension:order_items:sale_price | dimension:order_items:category | dimension:order_items:products.product_id | dimension:order_items:customers.full_name | dimension:order_items:products.name | source:scoped_orders:scoped_orders | measure:scoped_orders:total_sales | measure:scoped_orders:percent_of_sales | dimension:scoped_orders:order_id | measure:scoped_orders:total_margin | measure:scoped_orders:customer_count | dimension:scoped_orders:status | measure:scoped_orders:margin_rate | measure:scoped_orders:order_item_count | measure:scoped_orders:orders_per_customer | dimension:scoped_orders:customer_id | measure:scoped_orders:avg_order_value | measure:scoped_orders:customers.customer_count | dimension:scoped_orders:customers.state | measure:scoped_orders:return_rate | dimension:scoped_orders:customers.customer_id | dimension:scoped_orders:sale_price | dimension:scoped_orders:category | dimension:scoped_orders:products.product_id,,semantic
baseline-01|storefront-tour-net-sales-2025|None|baseline,baseline-01,storefront-tour-net-sales-2025,,2,get_context,dimensional_value: status values | dimension: order date,11,source:order_items:order_items | dimension:order_items:order_id | dimension:order_items:customers.signup_date | dimension:order_items:customer_id | dimension:order_items:sale_price | dimension:order_items:customers.customer_id | dimension:order_items:product_id | dimension:order_items:products.name | dimension:order_items:created_at | dimension:order_items:products.product_id | dimension:order_items:category,,semantic
baseline-01|storefront-tour-net-sales-2025|None|baseline,baseline-01,storefront-tour-net-sales-2025,,3,execute_query,,0,,,
baseline-01|storefront-tour-net-sales-2025|None|baseline,baseline-01,storefront-tour-net-sales-2025,,4,execute_query,,0,,"Error during executeQuery for resource 'examples/storefront/storefront.malloy': 'logical operator' Can't use type date
Cannot compare a date to a boolean

Suggestions:
- Verify the structure and syntax within the Malloy file: examples/storefront/storefront.malloy. Check for typos in source, query, o",
baseline-01|storefront-tour-net-sales-2025|None|baseline,baseline-01,storefront-tour-net-sales-2025,,5,execute_query,,0,,,
baseline-01|storefront-tour-signup-cohort-2025|None|baseline,baseline-01,storefront-tour-signup-cohort-2025,,1,get_context,source: orders or revenue | dimension: customer signup date | measure: revenue,78,source:scoped_orders:scoped_orders | dimension:scoped_orders:customers.signup_date | measure:scoped_orders:total_sales | dimension:scoped_orders:customer_id | dimension:scoped_orders:customers.customer_id | dimension:scoped_orders:customers.full_name | measure:scoped_orders:return_rate | dimension:scoped_orders:customers.state | measure:scoped_orders:percent_of_sales | measure:scoped_orders:margin_rate | measure:scoped_orders:customer_count | dimension:scoped_orders:created_at | measure:scoped_orders:total_margin | measure:scoped_orders:order_count | measure:scoped_orders:customers.customer_count | dimension:scoped_orders:order_id | dimension:scoped_orders:product_id | measure:scoped_orders:avg_order_value | measure:scoped_orders:order_item_count | dimension:scoped_orders:customers.city | dimension:scoped_orders:products.product_id | source:overview:overview | dimension:overview:customers.signup_date | measure:overview:total_sales | dimension:overview:customer_id | dimension:overview:customers.customer_id | dimension:overview:customers.full_name | measure:overview:return_rate | dimension:overview:customers.state | measure:overview:percent_of_sales | measure:overview:margin_rate | measure:overview:customer_count | dimension:overview:created_at | measure:overview:total_margin | measure:overview:order_count | measure:overview:customers.customer_count | dimension:overview:order_id | dimension:overview:product_id | measure:overview:avg_order_value | measure:overview:order_item_count,,semantic
baseline-01|storefront-tour-signup-cohort-2025|None|baseline,baseline-01,storefront-tour-signup-cohort-2025,,2,execute_query,,0,,,
baseline-01|storefront-tour-avg-discount|None|baseline,baseline-01,storefront-tour-avg-discount,,1,get_context,source: orders or order items with price and discount | dimension: list price | dimension: sale price or actual selling price | dimension: discount amount or discount percent,0,,,
baseline-01|storefront-tour-avg-discount|None|baseline,baseline-01,storefront-tour-avg-discount,,2,get_context,dimension: sale price | dimension: retail price | measure: average discount,26,source:scoped_orders:scoped_orders | dimension:scoped_orders:sale_price | dimension:scoped_orders:products.retail_price | dimension:scoped_orders:products.cost | measure:scoped_orders:avg_order_value | dimension:scoped_orders:gross_margin | measure:scoped_orders:margin_rate | measure:scoped_orders:percent_of_sales | measure:scoped_orders:total_margin | measure:scoped_orders:total_sales | dimension:scoped_orders:order_id | dimension:scoped_orders:products.name | measure:scoped_orders:return_rate | measure:scoped_orders:orders_per_customer | measure:scoped_orders:order_count | dimension:scoped_orders:brand | dimension:scoped_orders:category | measure:scoped_orders:customer_count | dimension:scoped_orders:product_id | dimension:scoped_orders:products.category | dimension:scoped_orders:products.brand | measure:scoped_orders:order_item_count | dimension:scoped_orders:customer_id | dimension:scoped_orders:products.product_id | dimension:scoped_orders:customers.city | dimension:scoped_orders:customers.customer_id,,semantic
baseline-01|storefront-tour-avg-discount|None|baseline,baseline-01,storefront-tour-avg-discount,,3,get_context,dimension: discount | measure: discount,77,source:products:products | dimension:products:cost | dimension:products:retail_price | dimension:products:brand | dimension:products:name | measure:products:product_count | dimension:products:category | dimension:products:product_id | source:scoped_orders:scoped_orders | dimension:scoped_orders:sale_price | measure:scoped_orders:margin_rate | measure:scoped_orders:order_count | measure:scoped_orders:return_rate | dimension:scoped_orders:order_id | measure:scoped_orders:percent_of_sales | dimension:scoped_orders:products.retail_price | dimension:scoped_orders:products.cost | measure:scoped_orders:total_sales | dimension:scoped_orders:gross_margin | measure:scoped_orders:total_margin | dimension:scoped_orders:brand | dimension:scoped_orders:category | dimension:scoped_orders:customer_id | measure:scoped_orders:orders_per_customer | measure:scoped_orders:customer_count | measure:scoped_orders:order_item_count | dimension:scoped_orders:products.category | dimension:scoped_orders:id | measure:scoped_orders:avg_order_value | source:overview:overview | dimension:overview:sale_price | measure:overview:margin_rate | measure:overview:order_count | measure:overview:return_rate | dimension:overview:order_id | measure:overview:percent_of_sales | dimension:overview:products.retail_price | dimension:overview:products.cost | measure:overview:total_sales | dimension:overview:gross_margin,,semantic
baseline-01|storefront-tour-avg-discount|None|baseline,baseline-01,storefront-tour-avg-discount,,4,execute_query,,0,,,
baseline-01|storefront-tour-avg-discount|None|baseline,baseline-01,storefront-tour-avg-discount,,5,execute_query,,0,,,
baseline-01|storefront-tour-avg-discount|None|baseline,baseline-01,storefront-tour-avg-discount,,6,execute_query,,0,,,
baseline-01|storefront-tour-top-region|None|baseline,baseline-01,storefront-tour-top-region,,1,get_context,source: sales orders revenue by region | dimension: region | measure: revenue,81,source:overview:overview | dimension:overview:region | dimension:overview:regions.region | dimension:overview:regions.state | measure:overview:total_sales | dimension:overview:category | measure:overview:return_rate | dimension:overview:brand | measure:overview:percent_of_sales | dimension:overview:status | measure:overview:margin_rate | measure:overview:customer_count | dimension:overview:id | measure:overview:total_margin | dimension:overview:customers.city | measure:overview:order_count | measure:overview:customers.customer_count | dimension:overview:products.category | measure:overview:avg_order_value | measure:overview:order_item_count | dimension:overview:products.brand | source:order_items:order_items | dimension:order_items:region | dimension:order_items:regions.region | dimension:order_items:regions.state | measure:order_items:total_sales | dimension:order_items:category | measure:order_items:return_rate | dimension:order_items:brand | measure:order_items:percent_of_sales | dimension:order_items:status | measure:order_items:margin_rate | measure:order_items:customer_count | dimension:order_items:id | measure:order_items:total_margin | dimension:order_items:customers.city | measure:order_items:order_count | measure:order_items:customers.customer_count | dimension:order_items:products.category | measure:order_items:avg_order_value,,semantic
baseline-01|storefront-tour-top-region|None|baseline,baseline-01,storefront-tour-top-region,,2,execute_query,,0,,,
baseline-01|storefront-tour-best-customers|None|baseline,baseline-01,storefront-tour-best-customers,,1,get_context,source: customers | measure: revenue or sales total | view: top customers by revenue,69,source:customers:customers | measure:customers:customer_count | source:scoped_orders:scoped_orders | view:scoped_orders:top_customers | view:scoped_orders:top_products | view:scoped_orders:top_brands | measure:scoped_orders:total_sales | view:scoped_orders:key_figures | measure:scoped_orders:percent_of_sales | view:scoped_orders:by_category | measure:scoped_orders:total_margin | view:scoped_orders:category_performance | view:scoped_orders:sales_by_state | view:scoped_orders:brand_performance | view:scoped_orders:sales_by_year | view:scoped_orders:sales_by_month | measure:scoped_orders:customer_count | measure:scoped_orders:margin_rate | measure:scoped_orders:order_item_count | measure:scoped_orders:customers.customer_count | measure:scoped_orders:return_rate | measure:scoped_orders:order_count | measure:scoped_orders:avg_order_value | source:order_items:order_items | view:order_items:top_customers | view:order_items:top_products | view:order_items:top_brands | measure:order_items:total_sales | view:order_items:key_figures | measure:order_items:percent_of_sales | view:order_items:by_category | measure:order_items:total_margin | view:order_items:category_performance | view:order_items:sales_by_state | view:order_items:brand_performance | view:order_items:sales_by_year | view:order_items:sales_by_month | measure:order_items:customer_count | measure:order_items:margin_rate | measure:order_items:order_item_count,,semantic
baseline-01|storefront-tour-best-customers|None|baseline,baseline-01,storefront-tour-best-customers,,2,execute_query,,0,,,
baseline-01|storefront-tour-summer-sales-2025|None|baseline,baseline-01,storefront-tour-summer-sales-2025,,1,get_context,source: sales orders | measure: total sales revenue | dimension: order date,75,source:overview:overview | measure:overview:total_sales | measure:overview:percent_of_sales | dimension:overview:order_id | dimension:overview:customers.signup_date | measure:overview:total_margin | dimension:overview:customer_id | measure:overview:customer_count | dimension:overview:sale_price | measure:overview:order_item_count | measure:overview:customers.customer_count | measure:overview:avg_order_value | measure:overview:orders_per_customer | dimension:overview:customers.customer_id | measure:overview:return_rate | measure:overview:margin_rate | dimension:overview:product_id | dimension:overview:products.name | dimension:overview:created_at | dimension:overview:products.product_id | dimension:overview:category | source:order_items:order_items | measure:order_items:total_sales | measure:order_items:percent_of_sales | dimension:order_items:order_id | dimension:order_items:customers.signup_date | measure:order_items:total_margin | dimension:order_items:customer_id | measure:order_items:customer_count | dimension:order_items:sale_price | measure:order_items:order_item_count | measure:order_items:customers.customer_count | measure:order_items:avg_order_value | measure:order_items:orders_per_customer | dimension:order_items:customers.customer_id | measure:order_items:return_rate | measure:order_items:margin_rate | dimension:order_items:product_id | dimension:order_items:products.name | dimension:order_items:created_at,,semantic
baseline-01|storefront-tour-summer-sales-2025|None|baseline,baseline-01,storefront-tour-summer-sales-2025,,2,execute_query,,0,,,
baseline-01|storefront-tour-customer-count-basis|None|baseline,baseline-01,storefront-tour-customer-count-basis,,1,get_context,source: customers | measure: count of customers,39,source:customers:customers | measure:customers:customer_count | source:scoped_orders:scoped_orders | measure:scoped_orders:customers.customer_count | measure:scoped_orders:customer_count | measure:scoped_orders:orders_per_customer | measure:scoped_orders:order_count | measure:scoped_orders:products.product_count | measure:scoped_orders:order_item_count | measure:scoped_orders:total_sales | measure:scoped_orders:percent_of_sales | measure:scoped_orders:return_rate | measure:scoped_orders:avg_order_value | source:overview:overview | measure:overview:customers.customer_count | measure:overview:customer_count | measure:overview:orders_per_customer | measure:overview:order_count | measure:overview:products.product_count | measure:overview:order_item_count | measure:overview:total_sales | measure:overview:percent_of_sales | measure:overview:return_rate | measure:overview:avg_order_value | source:order_items:order_items | measure:order_items:customers.customer_count | measure:order_items:customer_count | measure:order_items:orders_per_customer | measure:order_items:order_count | measure:order_items:products.product_count | measure:order_items:order_item_count | measure:order_items:total_sales | measure:order_items:percent_of_sales | measure:order_items:return_rate | measure:order_items:avg_order_value | source:products:products | measure:products:product_count | source:regions:regions | source:brand_suggest:brand_suggest,,semantic
baseline-01|storefront-tour-customer-count-basis|None|baseline,baseline-01,storefront-tour-customer-count-basis,,2,execute_query,,0,,,
